APN,New AIN,Old AIN
4252007021,4252-007-041,4252-007-021*
4252007039,4252-007-041,4252-007-039*
4252008020,,
4252008023,,
4252020024,4252-020-049,4252-020-024*
4252021017,,
4252023016,,
4252024020,,
4252025007,,
4252025030,,
4252025032,4252-025-043,4252-025-032*
4252025033,4252-025-043,4252-025-033*
4252030034,,
4252034039,4252-034-039,4252-034-039*
4252034042,4252-034-042,4252-034-042*
4252035041,4252-035-041,
4254024024,4254-024-072,4254-024-024*
4254026009,,
4256012001,,
4256012009,,
4256013024,,
4256015013,,
4256015014,,
4256030015,,
4257013024,,
4257022046,4257-022-058,4257-022-046*
4258017005,,
4258017062,4258-017-064,4258-017-062*
4259004030,,
4259014019,4259-014-063,4259-014-019*
4259015031,,
4259027011,,
4259027012,,
4259027013,,
4259031007,,
4259039008,4259-039-054,4259-039-008*
4260006006,4260-006-062,4260-006-006*
4260006007,4260-006-059,4260-006-007*
4260032006,4260-032-060,4260-032-006*
4260032036,4260-032-059,4260-032-036*
4260032040,,
4260032044,4260-032-060,4260-032-044*
4260032045,4260-032-060,4260-032-045*
4260032059,4260-032-059,
4260033029,,
4260034033,,
4260040011,,
4261001003,4261-001-030,4261-001-003*
4261001004,4261-001-030,4261-001-004*
4261001005,4261-001-030,4261-001-005*
4261001006,,
4261006008,4261-006-027,4261-006-008*
4261006009,4261-006-027,4261-006-009*
4261008013,,
4261008014,4261-008-024,4261-008-014*
4261009030,,
4261013031,,
4261014012,4261-014-117,4261-014-012*
4261014013,4261-014-117,4261-014-013*
4261014020,4261-014-106,4261-014-020*
4261019006,4261-019-181,4261-019-006*
4261021013,4261-021-037,4261-021-013*
4261021024,,
4261022052,,
4261024022,4261-024-096,4261-024-022*
4261024025,4261-024-096,4261-024-025*
4261024026,4261-024-096,4261-024-026*
4261027003,,
4261028020,,
4261031002,4261-031-036,4261-031-002*
4261031003,4261-031-036,4261-031-003*
4261031020,4261-031-036,4261-031-020*
4261032003,,
4261032007,,
4261033002,4261-033-027,4261-033-002*
4261036019,4261-036-041,4261-036-019*
4261037019,,
4262003005,,
4262013008,4262-013-064,4262-013-008*
4262015009,4262-015-079,4262-015-009*
4262017022,4262-017-100,4262-017-022*
4262018026,,
4262019024,,
4262021012,,
4262021013,,
4262022026,4262-022-091,4262-022-026*
4262027023,,
4262027027,,
4262027029,,
4262029004,,
4262030006,4262-030-054,4262-030-006*
4263007028,,
4263007078,4263-007-244,4263-007-078*
4263007079,4263-007-244,4263-007-079*
4263007082,4263-007-244,4263-007-082*
4263007085,4263-007-244,4263-007-085*
4263008009,,
4263009030,,
4263011009,4263-011-117,4263-011-009*
4263011011,4263-011-117,4263-011-011*
4263015016,4263-015-069,4263-015-016*
4263015019,4263-015-069,4263-015-019*
4263016013,4263-016-079,4263-016-013*
4263020011,,
4263023020,4263-023-095,4263-023-020*
4263031016,4263-031-043,4263-031-016*
4263031018,4263-031-043,4263-031-018*
4263032033,,
4263033021,4263-033-066,4263-033-021*
4263033022,4263-033-066,4263-033-022*
4263034017,,
4263034024,,
4263034027,4263-034-036,4263-034-027*
4263034028,4263-034-036,4263-034-028*
4263034029,4263-034-036,4263-034-029*
4263039017,,
4264007009,4264-007-052,4264-007-009*
4264011019,,
4264015021,4264-015-044,4264-015-021*
4264015022,4264-015-045,4264-015-022*
4264015023,4264-015-046,4264-015-023*
4264015026,,
4264015026,,
4264026029,,
4264026030,,
4265005019,,
4265007044,4265-007-078,4265-007-044*
4265007045,4265-007-078,4265-007-045*
4265008042,,
4265012047,,
4265013062,,
4265015010,4265-015-252,4265-015-010*
4265015011,4265-015-252,4265-015-011*
4265015039,4265-015-251,4265-015-039*
4265015148,4265-015-251,4265-015-148*
4265015149,4265-015-251,4265-015-149*
4265017003,,
